id,age
NDARINVY91ZZ2Z7_baselineYear1Arm1,116
NDARINVY9DCYBXW_2YearFollowUpYArm1,152
NDARINVYG724FLH_baselineYear1Arm1,120
NDARINVYHAF0YYH_baselineYear1Arm1,128
NDARINVZYB94X1J_baselineYear1Arm1,110
NDARINVTPXZDTAT_baselineYear1Arm1,109
NDARINVU8U5U022_2YearFollowUpYArm1,138
NDARINVUP5T3PT9_baselineYear1Arm1,108
NDARINVV1APEWPM_baselineYear1Arm1,113
NDARINVVT14CE3D_2YearFollowUpYArm1,137
NDARINVVUP2JXUY_baselineYear1Arm1,107
NDARINVW1N53GX9_baselineYear1Arm1,108
NDARINVWG4ZLXZY_baselineYear1Arm1,127
NDARINVWGYVBK6Y_baselineYear1Arm1,121
NDARINVWW5E3PXX_2YearFollowUpYArm1,155
NDARINVRVCMVEY9_baselineYear1Arm1,112
NDARINVT2JJ42KE_baselineYear1Arm1,115
NDARINVTENZ2AJL_baselineYear1Arm1,120
NDARINVU5DHD2B7_baselineYear1Arm1,113
NDARINVKW1ALL48_baselineYear1Arm1,116
NDARINVPNUWHMJP_2YearFollowUpYArm1,132
NDARINVPNUWHMJP_baselineYear1Arm1,108
NDARINVM38PWW4W_2YearFollowUpYArm1,154
NDARINVN6E9XK0R_baselineYear1Arm1,109
NDARINVNU2URG3T_2YearFollowUpYArm1,140
NDARINVHT6KEU1H_2YearFollowUpYArm1,152
NDARINVJ2A3JCGK_baselineYear1Arm1,120
NDARINVJHUWPMY7_2YearFollowUpYArm1,134
NDARINVK9NHYCE6_2YearFollowUpYArm1,132
NDARINVK9NHYCE6_baselineYear1Arm1,108
NDARINVKPF9HV5P_baselineYear1Arm1,125
NDARINVL1FAK49Y_baselineYear1Arm1,108
NDARINVLK7A64VC_baselineYear1Arm1,110
NDARINVYCAUME01_baselineYear1Arm1,110
NDARINVYLC0XGH4_baselineYear1Arm1,115
NDARINVZ1KX2326_baselineYear1Arm1,131
NDARINVZ2BXG0C8_baselineYear1Arm1,115
NDARINVZBALX84G_baselineYear1Arm1,121
NDARINVZGEEAXPZ_baselineYear1Arm1,113
NDARINVV1APEWPM_2YearFollowUpYArm1,135
NDARINVVDT3APC1_2YearFollowUpYArm1,151
NDARINVWFN7K4C5_baselineYear1Arm1,129
NDARINVR8WEKB2F_baselineYear1Arm1,130
NDARINVRHLEYZMW_baselineYear1Arm1,108
NDARINVRVCMVEY9_2YearFollowUpYArm1,133
NDARINVTDXY0L82_baselineYear1Arm1,111
NDARINVU5DHD2B7_2YearFollowUpYArm1,136
NDARINVL1PVW5B7_2YearFollowUpYArm1,131
NDARINVPGF1DHPJ_baselineYear1Arm1,130
NDARINVLZF5ZK83_baselineYear1Arm1,120
NDARINVMAEVPZJ0_2YearFollowUpYArm1,133
NDARINVMTYZ9AH4_2YearFollowUpYArm1,141
NDARINVMTYZ9AH4_baselineYear1Arm1,117
NDARINVJGY9JJPW_baselineYear1Arm1,129
NDARINVJWAPD83W_baselineYear1Arm1,108
NDARINVKPF9HV5P_2YearFollowUpYArm1,147
NDARINVL1FAK49Y_2YearFollowUpYArm1,132
